年,月,縣市,合計售電量,縣市用電佔比,住宅部門,服務業部門,農林漁牧,工業部門
2021,12,苗栗縣,623604327,0.0335,79326743,55820789,2706933,485749862
2021,12,彰化縣,981148645,0.0527,200030990,184482385,39220702,557414568
2021,12,南投縣,252882691,0.0136,83343511,54087035,8971241,106480904
2021,12,雲林縣,471110531,0.0253,112416852,66129975,33629453,258934251
2021,12,嘉義縣,257148836,0.0138,70992533,43869174,21560025,120727104
2021,12,屏東縣,397311031,0.0214,131846482,92206775,62884069,110373705
2021,12,台東縣,79207517,0.0043,35708210,30205664,2737500,10556143
2021,12,花蓮縣,205185962,0.011,54629425,56662464,2241826,91652247
2021,12,基隆市,118890318,0.0064,60083321,40281199,11355,18514443
2021,12,新竹市,885827774,0.0476,73662990,94928836,726889,716509059
2021,12,嘉義市,93839778,0.005,44292169,40919793,595455,8032361
2021,12,澎湖縣,32823879,0.0018,15010950,13238108,384038,4190783
2021,12,金門縣,21557659,0.0012,9709296,8808052,312586,2727725
2021,12,連江縣,5626287,0.0003,2020829,2931788,6853,666817
2021,11,新北市,1934679401,0.0967,855667280,548503645,2545555,527962921
2021,11,台北市,1365756221,0.0682,539006246,765780475,1013171,59956329
2021,11,桃園市,2435218137,0.1217,432149296,356516989,3690174,1642861678
2021,11,台中市,2980831719,0.1489,627911150,504800229,14129047,1833991293
2021,11,台南市,2651776643,0.1325,402305179,270695215,37412827,1941363422
2021,11,高雄市,2751372562,0.1375,642508040,465802293,20760788,1622301441
2021,11,宜蘭縣,295551553,0.0148,85820572,70541028,5907496,133282457
2021,11,新竹縣,825888899,0.0413,122917806,86640445,2113710,614216938
2021,11,苗栗縣,673691328,0.0337,115576309,62589466,2854015,492671538
2021,11,彰化縣,1045443122,0.0522,250282705,189595089,45492566,560072762
2021,11,南投縣,249360605,0.0125,76266734,57225287,9455652,106412932
2021,11,雲林縣,523458334,0.0262,143428843,77779829,37628349,264621313
2021,11,嘉義縣,301279349,0.0151,97174695,48433731,24585064,131085859
2021,11,屏東縣,434838490,0.0217,163196863,99028146,61161254,111452227
2021,11,台東縣,83241746,0.0042,37185038,33065883,2679850,10310975
2021,11,花蓮縣,217422018,0.0109,59421144,61277095,2102523,94621256
2021,11,基隆市,126880235,0.0063,64586626,43526753,5336,18761520
2021,11,新竹市,926730806,0.0463,113279587,104513107,786038,708152074
2021,11,嘉義市,110022626,0.0055,54683309,46810728,595162,7933427
2021,11,澎湖縣,43198450,0.0022,20319941,18257029,414487,4206993
2021,11,金門縣,29855835,0.0015,14595316,11257582,343267,3659670
2021,11,連江縣,6536686,0.0003,2910433,2995121,6750,624382
2021,10,新北市,2144046958,0.0998,990430952,584840744,2388911,566386351
2021,10,台北市,1510486682,0.0703,611087438,842796300,1251204,55351740
2021,10,桃園市,2767368793,0.1288,594707482,416880451,5414600,1750366260
2021,10,台中市,3167260647,0.1474,682151364,541177198,16426497,1927505588
2021,10,台南市,2844321707,0.1324,438919997,293352863,42248115,2069800732
2021,10,高雄市,2718332559,0.1265,525064643,497473546,22171059,1673623311
2021,10,宜蘭縣,341182708,0.0159,108673540,74692364,7706088,150110716
2021,10,新竹縣,918683656,0.0428,158636768,101895803,2325640,655825445
2021,10,苗栗縣,702577505,0.0327,116555697,67459442,3421889,515140477
2021,10,彰化縣,1116053936,0.052,272347988,209456582,54762337,579487029
2021,10,南投縣,283151849,0.0132,99397497,62268655,10642693,110843004
2021,10,雲林縣,545584790,0.0254,146407056,78823397,44616826,275737511
2021,10,嘉義縣,312196106,0.0145,92099810,51108676,28331943,140655677
